"Code ISO_3","Numéro","Continent rattaché","State","État","Superficie 2007","Superficie 2012","Pop 2007","Pop 2008","Pop 2009","Pop 2010","Pop 2011","Pop 2012","Pop 2013","Pop 2014","Pop 2015","Pop 2016","Pop 2017","Pop 2018","Pop 2019","Pop 2020","Pop 2021","Pop 2022","Pop 2023","Pop 2024","Pop 2025","Densité 2007","Densité 2008","Densité 2009","Densité 2010","Densité 2011","Densité 2012","Densité 2013","Densité 2014","Densité 2015","Densité 2016","Densité 2017","Densité 2018","Densité 2019","Densité 2020","Densité 2021","Densité 2022","Densité 2023","Densité 2024","Densité 2025"
"uga",130,"Afrique","Uganda","Ouganda",241000,241000,27700000,28500000,29200000,30700000,33800000,34500000,35600000,36900000,36900000,40100000,40300000,41700000,44300000,44300000,45700000,47100000,47200000,48500000,50000000,115,118.26,121.16,127.39,140.25,143.15,147.72,153.11,153.11,166.39000000000001,167.22,173.03,183.82,183.82,189.63,195.44,195.85,201.24,207.47
"uzb",131,"Asie","Uzbekistan","Ouzbékistan",448000,448000,26200000,26500000,27200000,27600000,27800000,28500000,28100000,30200000,30200000,31300000,30300000,30700000,32400000,33000000,33500000,33900000,34600000,35100000,36300000,58,59.15,60.71,61.61,62.050000000000004,63.620000000000005,62.72,67.41,67.41,69.87,67.63,68.53,72.32000000000001,73.66,74.78,75.67,77.23,78.35000000000001,81.03
"pak",132,"Asie","Pakistan","Pakistan",797000,797000,165800000,169300000,172800000,180600000,184800000,176900000,176900000,190700000,190700000,199000000,193000000,196700000,200700000,216600000,220900000,225200000,235800000,240500000,251200000,208,212.42000000000002,216.81,226.6,231.87,221.96,221.96,239.27,239.27,249.69,242.16,246.8,251.82,271.77,277.16,282.56,295.86,301.76,315.18
"plw",133,"Océanie","Palau","Palaos",500,500,,,,,,,,20000,20000,20000,20000,20000,21500,21500,18000,18000,18000,18000,18000,,,,,,,,40.,40.,40.,40.,40.,43.,43.,36.,36.,36.,36.,36.
"pan",134,"Amérique","Panama","Panama",76000,76000,3300000,3300000,3400000,3500000,3500000,3600000,3600000,3900000,3900000,4000000,4000000,4000000,4200000,4200000,4300000,4300000,4400000,4400000,4500000,43,43.42,44.74,46.050000000000004,46.050000000000004,47.37,47.37,51.32,51.32,52.63,52.63,52.63,55.26,55.26,56.58,56.58,57.89,57.89,59.21
"png",135,"Océanie","Papua New Guinea","Papouasie-Nouvelle-Guinée",463000,463000,6000000,6300000,6500000,6600000,6900000,6900000,7200000,7200000,7200000,7700000,7700000,7900000,8400000,8800000,8900000,9100000,10100000,10300000,10500000,13,13.61,14.040000000000001,14.25,14.9,14.9,15.55,15.55,15.55,16.63,16.63,17.06,18.14,19.01,19.22,19.650000000000002,21.81,22.25,22.68
"pry",136,"Amérique","Paraguay","Paraguay",407000,407000,6300000,6100000,6200000,6200000,6500000,6600000,6700000,6800000,6800000,7000000,6700000,6800000,6900000,7000000,7100000,7200000,6800000,6800000,6900000,15,14.99,15.23,15.23,15.97,16.22,16.46,16.71,16.71,17.2,16.46,16.71,16.95,17.2,17.44,17.69,16.71,16.71,16.95
"nld",137,"Europe","Netherlands","Pays-Bas",41000,41000,16400000,16400000,16400000,16500000,16600000,16700000,16700000,16800000,16800000,16900000,16900000,17000000,17100000,17100000,17100000,17100000,17600000,17600000,18200000,400,400.,400.,402.44,404.88,407.32,407.32,409.76,409.76,412.2,412.2,414.63,417.07,417.07,417.07,417.07,429.27,429.27,443.90000000000003
"per",138,"Amérique","Peru","Pérou",1287000,1287000,28400000,27900000,27900000,29200000,29500000,29000000,29700000,30500000,30500000,31200000,31800000,32200000,32600000,32500000,33000000,33300000,33300000,34300000,34200000,22,21.68,21.68,22.69,22.92,22.53,23.080000000000002,23.7,23.7,24.240000000000002,24.71,25.02,25.330000000000002,25.25,25.64,25.87,25.87,26.650000000000002,26.57
"phl",139,"Asie","Philippines","Philippines",300000,300000,86300000,88700000,90500000,92200000,93600000,95700000,96500000,96200000,96200000,103000000,102200000,103800000,106500000,108100000,109600000,111000000,115600000,117300000,115800000,288,295.67,301.67,307.33,312.,319.,321.67,320.67,320.67,343.33,340.67,346.,355.,360.33,365.33,370.,385.33,391.,386.
"pol",140,"Europe","Poland","Pologne",324000,324000,38100000,38100000,38100000,38100000,38100000,38200000,38300000,38500000,38500000,38500000,38500000,38600000,38100000,37900000,37800000,37800000,39900000,41000000,38500000,118,117.59,117.59,117.59,117.59,117.9,118.21000000000001,118.83,118.83,118.83,118.83,119.14,117.59,116.98,116.67,116.67,123.15,126.54,118.83
"prt",141,"Europe","Portugal","Portugal",92000,92000,10600000,10700000,10600000,10600000,10600000,10700000,10700000,10500000,10500000,10300000,10300000,10300000,10300000,10200000,10200000,10200000,10300000,10200000,10400000,115,116.3,115.22,115.22,115.22,116.3,116.3,114.13,114.13,111.96000000000001,111.96000000000001,111.96000000000001,111.96000000000001,110.87,110.87,110.87,111.96000000000001,110.87,113.04
"qat",142,"Asie","Qatar","Qatar",11000,11000,800000,900000,900000,1400000,1500000,1700000,1900000,2200000,2200000,2400000,2300000,2300000,2700000,2800000,2900000,2900000,2700000,2700000,3000000,73,81.82000000000001,81.82000000000001,127.27,136.36,154.55,172.73,200.,200.,218.18,209.09,209.09,245.45000000000002,254.55,263.64,263.64,245.45000000000002,245.45000000000002,272.73
"caf",143,"Afrique","Central African Republic","République centrafricaine",624000,624000,4300000,4300000,4400000,4500000,4500000,5000000,4600000,4700000,4700000,5600000,5000000,5100000,4700000,4700000,4800000,4900000,5600000,5700000,5300000,7,6.890000000000001,7.05,7.21,7.21,8.01,7.37,7.53,7.53,8.97,8.01,8.17,7.53,7.53,7.69,7.8500000000000005,8.97,9.13,8.49
"cod",144,"Afrique","Democratic Republic of the Congo","République démocratique du Congo",2348000,2348000,62700000,62600000,66500000,68700000,67800000,67800000,69600000,71100000,71100000,73300000,79700000,82200000,84000000,86800000,89600000,92300000,99000000,102200000,109000000,27,26.66,28.32,29.26,28.88,28.88,29.64,30.28,30.28,31.220000000000002,33.94,35.01,35.78,36.97,38.160000000000004,39.31,42.160000000000004,43.53,46.42
"dom",145,"Amérique","Dominican Republic","République dominicaine",49000,49000,9000000,9400000,9900000,10100000,10200000,10000000,10200000,10300000,10300000,10500000,10600000,10800000,10900000,10700000,10800000,10900000,11200000,11300000,11400000,184,191.84,202.04,206.12,208.16,204.08,208.16,210.20000000000002,210.20000000000002,214.29,216.33,220.41,222.45000000000002,218.37,220.41,222.45000000000002,228.57,230.61,232.65
"cze",146,"Europe","Czech Republic","République tchèque",79000,79000,10300000,10300000,10400000,10500000,10500000,10500000,10600000,10500000,10500000,10600000,10600000,10600000,10600000,10700000,10700000,10700000,10500000,10400000,10700000,130,130.38,131.65,132.91,132.91,132.91,134.18,132.91,132.91,134.18,134.18,134.18,134.18,135.44,135.44,135.44,132.91,131.65,135.44
"rou",147,"Europe","Romania","Roumanie",239000,239000,21600000,21600000,21500000,21500000,21500000,21400000,21400000,21300000,21300000,19800000,19300000,19200000,19600000,19400000,19600000,19100000,19700000,19900000,19000000,90,90.38,89.96000000000001,89.96000000000001,89.96000000000001,89.54,89.54,89.12,89.12,82.85000000000001,80.75,80.33,82.01,81.17,82.01,79.92,82.43,83.26,79.5
"gbr",148,"Europe","United Kingdom","Royaume-Uni",245000,245000,60500000,61000000,61300000,6180000,61800000,62700000,62800000,64100000,64100000,65100000,65100000,65500000,66600000,67500000,67900000,68200000,67500000,67700000,69100000,247,248.98000000000002,250.20000000000002,25.22,252.24,255.92000000000002,256.33,261.63,261.63,265.71,265.71,267.35,271.84000000000003,275.51,277.14,278.37,275.51,276.33,282.04
"rus",149,"Europe","Russia","Russie",17095000,17095000,142300000,141700000,141900000,141800000,141200000,142800000,142700000,143500000,143500000,144300000,143400000,143400000,144000000,145900000,146000000,146000000,144700000,144400000,144800000,8,8.290000000000001,8.3,8.290000000000001,8.26,8.35,8.35,8.39,8.39,8.44,8.39,8.39,8.42,8.53,8.540000000000001,8.540000000000001,8.46,8.45,8.47
"rwa",150,"Afrique","Rwanda","Rwanda",26000,26000,9100000,9300000,9600000,9900000,10300000,10900000,11300000,11100000,11100000,11300000,11800000,12200000,12500000,12600000,12900000,13200000,13800000,14000000,14200000,350,357.69,369.23,380.77,396.15000000000003,419.23,434.62,426.92,426.92,434.62,453.85,469.23,480.77,484.62,496.15000000000003,507.69,530.77,538.46,546.15
"lca",151,"Amérique","Saint Lucia","Sainte-Lucie",1000,1000,,,,,,,,170000,170000,180000,186000,188000,4200000,183000,184000,184000,180000,180000,180000,,,,,,,,170.,170.,180.,186.,188.,4200.,183.,184.,184.,180.,180.,180.
"kna",152,"Amérique","Saint Kitts and Nevis","Saint-Christophe-et-Niévès",400,400,,,,,,,,50000,50000,50000,50000,50000,54821,54000,53000,53000,53500,54700,54700,,,,,,,,125.,125.,125.,125.,125.,137.05,135.,132.5,132.5,133.75,136.75,136.75
"vct",153,"Amérique","Saint Vincent and the Grenadines","Saint-Vincent-et-les-Grenadines",500,500,,,,,,,,110000,110000,110000,110000,110000,110000,111000,111000,111000,104000,104000,111000,,,,,,,,220.,220.,220.,220.,220.,220.,222.,222.,222.,208.,208.,222.
"slb",154,"Océanie","Solomon Islands","Salomon",29000,29000,,,,520000,530000,600000,600000,580000,580000,600000,595000,606000,623000,670000,690000,704000,724000,740000,819000,,,,17.93,18.28,20.69,20.69,20.,20.,20.69,20.52,20.900000000000002,21.48,23.1,23.79,24.28,24.97,25.52,28.240000000000002
"slv",155,"Amérique","El Salvador","Salvador",21000,21000,7000000,6900000,7200000,7300000,6200000,6200000,6300000,6300000,6300000,6400000,6100000,6200000,6400000,6500000,6500000,6500000,6300000,6300000,6300000,333,328.57,342.86,347.62,295.24,295.24,300.,300.,300.,304.76,290.48,295.24,304.76,309.52,309.52,309.52,300.,300.,300.
"wsm",156,"Océanie","Samoa","Samoa",28000,28000,,,,190000,180000,200000,200000,190000,190000,190000,195000,196000,198000,197000,198000,200000,222000,226000,218000,,,,6.79,6.43,7.140000000000001,7.140000000000001,6.79,6.79,6.79,6.96,7.,7.07,7.04,7.07,7.140000000000001,7.930000000000001,8.07,7.79
"smr",157,"Europe","San Marino","Saint-Marin",66,66,,,,,,,,30000,30000,30000,32000,32000,33328,33400,33600,34000,34000,35000,33600,,,,,,,,454.55,454.55,454.55,484.85,484.85,504.97,506.06,509.09000000000003,515.15,515.15,530.3,509.09000000000003
"stp",158,"Afrique","Sao Tome and Principe","São-Tomé-et-Principe",1000,1000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,194000,198000,209000,220000,220000,223000,223000,232000,236000,200,200.,200.,200.,200.,200.,200.,200.,200.,200.,194.,198.,209.,220.,220.,223.,223.,232.,236.
"sen",159,"Afrique","Senegal","Sénégal",197000,197000,11900000,12400000,12700000,12500000,12900000,12800000,13100000,13500000,13500000,14700000,15600000,16100000,16300000,16300000,16700000,17100000,17300000,17700000,18500000,60,62.940000000000005,64.47,63.45,65.48,64.97,66.5,68.53,68.53,74.62,79.19,81.73,82.74,82.74,84.77,86.8,87.82000000000001,89.85000000000001,93.91
"srb",160,"Europe","Serbia","Serbie",102000,102000,9500000,9500000,7400000,7300000,7300000,7300000,7300000,7100000,7100000,7100000,8800000,8800000,8800000,8800000,8700000,8700000,7200000,7100000,6700000,93,93.14,72.55,71.57000000000001,71.57000000000001,71.57000000000001,71.57000000000001,69.61,69.61,69.61,86.27,86.27,86.27,86.27,85.29,85.29,70.59,69.61,65.69
"syc",161,"Afrique","Seychelles","Seychelles",500,500,100000,100000,100000,100000,100000,100000,100000,90000,90000,90000,97000,98000,95000,100000,100000,90000,107000,108000,130000,200,200.,200.,200.,200.,200.,200.,180.,180.,180.,194.,196.,190.,200.,200.,180.,214.,216.,260.
"sle",162,"Afrique","Sierra Leone","Sierra Leone",72000,72000,5700000,5300000,5500000,5700000,5800000,5400000,6100000,6200000,6200000,6500000,6600000,6700000,7700000,7800000,8000000,8100000,8600000,8700000,8600000,79,73.61,76.39,79.17,80.56,75.,84.72,86.11,86.11,90.28,91.67,93.06,106.94,108.33,111.11,112.5,119.44,120.83,119.44
"sgp",163,"Asie","Singapore","Singapour",600,600,4500000,4600000,4800000,5100000,4800000,5200000,5200000,5400000,5400000,5500000,5700000,5800000,5800000,5800000,5800000,5900000,6000000,6000000,5800000,7500,7666.67,8000.,8500.,8000.,8666.67,8666.67,9000.,9000.,9166.67,9500.,9666.67,9666.67,9666.67,9666.67,9833.33,10000.,10000.,9666.67
"svk",164,"Europe","Slovakia","Slovaquie",49000,49000,5400000,5400000,5400000,5400000,5400000,5400000,5500000,5400000,5400000,5400000,5400000,5400000,5400000,5500000,5500000,5400000,5600000,5700000,5500000,110,110.2,110.2,110.2,110.2,110.2,112.24000000000001,110.2,110.2,110.2,110.2,110.2,110.2,112.24000000000001,112.24000000000001,110.2,114.29,116.33,112.24000000000001
"svn",165,"Europe","Slovenia","Slovénie",20000,20000,2000000,2000000,2000000,2000000,2000000,2100000,2000000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,100,100.,100.,100.,100.,105.,100.,105.,105.,105.,105.,105.,105.,105.,105.,105.,105.,105.,105.
"som",166,"Afrique","Somalia","Somalie",638000,638000,8900000,8800000,9000000,9100000,9400000,9900000,9800000,10400000,10400000,11100000,11000000,11400000,15100000,15400000,15900000,16300000,16300000,18100000,19000000,14,13.790000000000001,14.11,14.26,14.73,15.52,15.36,16.3,16.3,17.400000000000002,17.240000000000002,17.87,23.67,24.14,24.92,25.55,25.55,28.37,29.78
"sdn",167,"Afrique","Sudan","Soudan",2509000,1861500,40200000,38600000,39400000,42300000,43200000,34900000,34900000,34200000,34200000,40900000,41100000,42200000,41500000,42800000,42800000,44900000,46900000,48100000,50400000,16,15.38,15.700000000000001,16.86,17.22,18.75,18.75,18.37,18.37,21.97,22.080000000000002,22.67,22.29,22.990000000000002,22.990000000000002,24.12,25.19,25.84,27.07
"ssd",168,"Afrique","South Sudan","Soudan du Sud",,647500,,,,,,8300000,8300000,9800000,9800000,12200000,12700000,13100000,12900000,11100000,11200000,11300000,10900000,11000000,11900000,,,,,,12.82,12.82,15.14,15.14,18.84,19.61,20.23,19.92,17.14,17.3,17.45,16.830000000000002,16.990000000000002,18.38
"lka",169,"Asie","Sri Lanka","Sri Lanka",66000,66000,19900000,20100000,20300000,20500000,20400000,20900000,20900000,20500000,20500000,20900000,20800000,20900000,21000000,21300000,21400000,21400000,21800000,21900000,23100000,302,304.55,307.58,310.61,309.09000000000003,316.67,316.67,310.61,310.61,316.67,315.15000000000003,316.67,318.18,322.73,324.24,324.24,330.3,331.82,350.
"swe",170,"Europe","Sweden","Suède",450000,450000,9100000,9100000,9200000,9300000,9300000,9400000,9500000,9600000,9600000,9800000,10500000,10500000,10000000,10000000,10100000,10100000,10500000,10600000,10600000,20,20.22,20.44,20.67,20.67,20.89,21.11,21.330000000000002,21.330000000000002,21.78,23.330000000000002,23.330000000000002,22.22,22.22,22.44,22.44,23.330000000000002,23.56,23.56
"che",171,"Europe","Switzerland","Suisse",41000,41000,7500000,7500000,7600000,7800000,7600000,7900000,7700000,8100000,8100000,8300000,8400000,8500000,8500000,8600000,8600000,8700000,8700000,8700000,8900000,183,182.93,185.37,190.24,185.37,192.68,187.8,197.56,197.56,202.44,204.88,207.32,207.32,209.76,209.76,212.20000000000002,212.20000000000002,212.20000000000002,217.07
"sur",172,"Amérique","Suriname","Suriname",163000,163000,500000,500000,500000,500000,500000,500000,500000,600000,600000,600000,548000,552000,556000,581000,587000,592000,592000,623000,634000,3,3.0700000000000003,3.0700000000000003,3.0700000000000003,3.0700000000000003,3.0700000000000003,3.0700000000000003,3.68,3.68,3.68,3.36,3.39,3.41,3.56,3.6,3.63,3.63,3.8200000000000003,3.89
"swz",173,"Afrique","Eswatini (ex-Swaziland)","Eswatini (ex-Swaziland)",17000,17000,1100000,1100000,1100000,1200000,1200000,1200000,1200000,1200000,1200000,1300000,1300000,1300000,1400000,1100000,1100000,1100000,1200000,1200000,1200000,65,64.71000000000001,64.71000000000001,70.59,70.59,70.59,70.59,70.59,70.59,76.47,76.47,76.47,82.35000000000001,64.71000000000001,64.71000000000001,64.71000000000001,70.59,70.59,70.59
"syr",174,"Asie","Syria","Syrie",185000,185000,19500000,19900000,19900000,21900000,22500000,22500000,21100000,21900000,21900000,17100000,18600000,18900000,18300000,17100000,19400000,18200000,22100000,23200000,24600000,105,107.57000000000001,107.57000000000001,118.38,121.62,121.62,114.05,118.38,118.38,92.43,100.54,102.16,98.92,92.43,104.86,98.38,119.46000000000001,125.41,132.97
"tjk",175,"Asie","Tajikistan","Tadjikistan",143000,143000,7000000,7100000,7300000,7500000,7000000,7500000,7100000,8100000,8100000,8500000,8600000,8900000,9100000,9300000,9500000,9700000,10000000,10100000,10500000,49,49.65,51.050000000000004,52.45,48.95,52.45,49.65,56.64,56.64,59.44,60.14,62.24,63.64,65.03,66.43,67.83,69.93,70.63,73.43
"twn",176,"Asie","Taiwan","Taïwan",36000,36000,22800000,22900000,23000000,23100000,23100000,23200000,23300000,23400000,23400000,23500000,23400000,23400000,23700000,23800000,23800000,23800000,23900000,23900000,23200000,633,636.11,638.89,641.67,641.67,644.44,647.22,650.,650.,652.78,650.,650.,658.33,661.11,661.11,661.11,663.89,663.89,644.44
"tza",177,"Afrique","Tanzania","Tanzanie",946000,946000,36500000,38700000,40200000,43700000,45000000,46200000,47700000,49100000,49100000,52300000,55100000,56900000,59100000,58000000,58000000,61500000,65500000,67400000,68500000,39,40.910000000000004,42.49,46.19,47.57,48.84,50.42,51.9,51.9,55.29,58.25,60.15,62.47,61.31,61.31,65.01,69.24,71.25,72.41
"tcd",178,"Afrique","Chad","Tchad",1285000,1285000,10000000,10800000,10100000,10300000,11500000,11500000,11800000,12200000,12200000,13700000,14500000,15000000,15300000,15900000,16400000,16900000,17700000,18200000,20200000,8,8.4,7.86,8.02,8.950000000000001,8.950000000000001,9.18,9.49,9.49,10.66,11.28,11.67,11.91,12.370000000000001,12.76,13.15,13.77,14.16,15.72
"tha",179,"Asie","Thailand","Thaïlande",514000,514000,65200000,65700000,66100000,67800000,68100000,69500000,69900000,66200000,66200000,65100000,68100000,68300000,69200000,69600000,69800000,69900000,71700000,71800000,71600000,127,127.82000000000001,128.6,131.91,132.49,135.21,135.99,128.79,128.79,126.65,132.49,132.88,134.63,135.41,135.8,135.99,139.49,139.69,139.3
"tls",180,"Asie","Timor-Leste","Timor-Oriental",15000,15000,1000000,1000000,1100000,1100000,1200000,1200000,1200000,1100000,1100000,1200000,1200000,1200000,1300000,1300000,1300000,1300000,1300000,1300000,1400000,67,66.67,73.33,73.33,80.,80.,80.,73.33,73.33,80.,80.,80.,86.67,86.67,86.67,86.67,86.67,86.67,93.33
"tgo",181,"Afrique","Togo","Togo",57000,57000,6300000,6600000,6800000,6600000,6800000,5800000,6300000,6200000,6200000,7200000,7500000,7700000,8000000,8100000,8300000,8400000,8800000,9000000,9500000,111,115.79,119.3,115.79,119.3,101.75,110.53,108.77,108.77,126.32000000000001,131.58,135.09,140.35,142.11,145.61,147.37,154.39000000000001,157.89000000000001,166.67000000000002
"ton",182,"Océanie","Tonga","Tonga",700,700,,,,100000,100000,100000,100000,100000,100000,100000,107000,108000,109000,104000,106000,107000,107000,108000,104000,,,,142.86,142.86,142.86,142.86,142.86,142.86,142.86,152.86,154.29,155.71,148.57,151.43,152.86,152.86,154.29,148.57
"tto",183,"Amérique","Trinidad and Tobago","Trinité-et-Tobago",5000,5000,1300000,1400000,1300000,1300000,1300000,1300000,1400000,1300000,1300000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1500000,1500000,1500000,260,280.,260.,260.,260.,260.,280.,260.,260.,280.,280.,280.,280.,280.,280.,280.,300.,300.,300.
"tun",184,"Afrique","Tunisia","Tunisie",164000,164000,10100000,10200000,10300000,10400000,10400000,10700000,10700000,10900000,10900000,11000000,11400000,11500000,11700000,11700000,11800000,11900000,12400000,12400000,12200000,62,62.2,62.800000000000004,63.410000000000004,63.410000000000004,65.24,65.24,66.46000000000001,66.46000000000001,67.07000000000001,69.51,70.12,71.34,71.34,71.95,72.56,75.61,75.61,74.39
"tkm",185,"Asie","Turkmenistan","Turkménistan",489000,489000,5300000,5400000,5200000,5100000,5200000,5100000,5200000,5200000,5200000,5400000,5400000,5500000,5800000,5900000,6000000,6100000,6400000,6500000,7400000,11,11.040000000000001,10.63,10.43,10.63,10.43,10.63,10.63,10.63,11.040000000000001,11.040000000000001,11.25,11.86,12.07,12.27,12.47,13.09,13.290000000000001,15.13
"tur",186,"Asie","Turkey","Turquie",776000,776000,73700000,74000000,74800000,74800000,75700000,74000000,74500000,76100000,76100000,78200000,79600000,80400000,82000000,83400000,84300000,85000000,85300000,85800000,87400000,95,95.36,96.39,96.39,97.55,95.36,96.01,98.07000000000001,98.07000000000001,100.77,102.58,103.61,105.67,107.47,108.63,109.54,109.92,110.57000000000001,112.63
"tuv",187,"Océanie","Tuvalu","Tuvalu",24,24,,,,,,,,10000,10000,10000,10000,10000,11000,11000,11600,11800,11800,11300,11300,,,,,,,,416.67,416.67,416.67,416.67,416.67,458.33,458.33,483.33,491.67,491.67,470.83,470.83
"ukr",188,"Europe","Ukraine","Ukraine",604000,604000,46800000,46500000,46200000,46000000,45400000,45700000,44900000,45500000,42800000,42800000,44600000,44400000,44000000,150400000,43700000,43500000,39700000,36700000,37800000,77,76.99,76.49,76.16,75.17,75.66,74.34,75.33,70.86,70.86,73.84,73.51,72.85000000000001,249.01000000000002,72.35000000000001,72.02,65.73,60.76,62.58
"ury",189,"Amérique","Uruguay","Uruguay",178000,178000,3300000,3300000,3300000,3400000,3400000,3400000,3400000,3400000,3400000,3600000,3400000,3500000,3500000,3500000,3500000,3500000,3400000,3400000,3300000,19,18.54,18.54,19.1,19.1,19.1,19.1,19.1,19.1,20.22,19.1,19.66,19.66,19.66,19.66,19.66,19.1,19.1,18.54
"vut",190,"Océanie","Vanuatu","Vanuatu",12000,12000,,,,240000,250000,250000,300000,270000,270000,280000,270000,276000,282000,300000,300000,314000,327000,335000,328000,,,,20.,20.830000000000002,20.830000000000002,25.,22.5,22.5,23.330000000000002,22.5,23.,23.5,25.,25.,26.17,27.25,27.92,27.330000000000002
"ven",191,"Amérique","Venezuela","Venezuela",913000,913000,27000000,27500000,27900000,28400000,29000000,29300000,29900000,29700000,29700000,30600000,31500000,31900000,32300000,28500000,28400000,28700000,28700000,28800000,28400000,30,30.12,30.560000000000002,31.11,31.76,32.09,32.75,32.53,32.53,33.52,34.5,34.94,35.38,31.220000000000002,31.11,31.43,31.43,31.54,31.11
"vnm",192,"Asie","Vietnam","Viêt-nam",332000,332000,84200000,85100000,86200000,87300000,89000000,87900000,89700000,89700000,89700000,91700000,94400000,95400000,96500000,96500000,97300000,98100000,98200000,89800000,100900000,254,256.33,259.64,262.95,268.07,264.76,270.18,270.18,270.18,276.2,284.34000000000003,287.35,290.66,290.66,293.07,295.48,295.78000000000003,270.48,303.92
"yem",193,"Asie","Yemen","Yémen",529000,529000,21600000,22400000,22200000,22900000,24300000,23800000,25600000,25200000,25200000,26700000,27500000,28100000,28900000,29200000,29800000,30500000,33700000,34400000,40500000,41,42.34,41.97,43.29,45.94,44.99,48.39,47.64,47.64,50.47,51.980000000000004,53.120000000000005,54.63,55.2,56.33,57.660000000000004,63.71,65.03,76.56
"zmb",194,"Afrique","Zambia","Zambie",753000,753000,11900000,11500000,12200000,12600000,13300000,13500000,13900000,14200000,14200000,15500000,16700000,17200000,17600000,17900000,18300000,18900000,20000000,20500000,21300000,16,15.27,16.2,16.73,17.66,17.93,18.46,18.86,18.86,20.580000000000002,22.18,22.84,23.37,23.77,24.3,25.1,26.560000000000002,27.22,28.29
"zwe",195,"Afrique","Zimbabwe","Zimbabwe",391000,391000,13100000,13300000,13500000,12500000,12700000,12100000,13000000,13000000,13000000,17400000,16000000,16300000,16900000,16000000,14900000,15000000,16300000,16600000,16600000,34,34.02,34.53,31.970000000000002,32.480000000000004,30.95,33.25,33.25,33.25,44.5,40.92,41.69,43.22,40.92,38.11,38.36,41.69,42.46,42.46
